CountyFIPS,county,year,median_income,median_rent,pct_age_25_34,pct_bachelors_plus
36001,Albany County,2022,78829,1196,0.11339476449097102,0.44415964502348415
36001,Albany County,2023,83149,1252,0.11369992453404529,0.4515350217946791
36001,Albany County,2024,85333,1313,0.11298412077547647,0.46421639980591944
36003,Allegany County,2022,58725,735,0.09529456609207573,0.24503620649380986
36003,Allegany County,2023,61233,754,0.0961362621472771,0.24561933534743202
36003,Allegany County,2024,62869,763,0.09629126995907462,0.24857008276697395
36005,Bronx County,2022,47036,1401,0.1400948844570058,0.21215257510479554
36005,Bronx County,2023,49036,1436,0.1372915272150784,0.21956129323920745
36005,Bronx County,2024,48676,1458,0.13534157330085372,0.22388465460531617
36007,Broome County,2022,58317,882,0.10347591561011267,0.29832464404402576
36007,Broome County,2023,61059,914,0.10507843712387098,0.3058679706601467
36007,Broome County,2024,62616,941,0.10554367761351316,0.31043297895953403
36009,Cattaraugus County,2022,56889,745,0.11296103896103896,0.20200271043517543
36009,Cattaraugus County,2023,58248,759,0.11234456517475386,0.20673885518831378
36009,Cattaraugus County,2024,59540,770,0.11118261212161008,0.21127801034228022
36011,Cayuga County,2022,63227,868,0.12061020598390464,0.22976487160039008
36011,Cayuga County,2023,66583,895,0.11686367009434963,0.23878642366037325
36011,Cayuga County,2024,67904,942,0.11600223695773748,0.2461518867581238
36013,Chautauqua County,2022,54625,759,0.11139359698681732,0.24289740951187866
36013,Chautauqua County,2023,56507,797,0.11328356909339898,0.2509742790335152
36013,Chautauqua County,2024,58351,812,0.11110845599949022,0.2512069082749711
36015,Chemung County,2022,61358,991,0.12170989663093415,0.24558486724913053
36015,Chemung County,2023,63469,1020,0.11940100235493026,0.2688530760281941
36015,Chemung County,2024,63716,1059,0.11789840164583004,0.27222146134355957
36017,Chenango County,2022,61741,798,0.11081620519789366,0.1826908919579493
36017,Chenango County,2023,62093,819,0.10973546106886581,0.19178366210532552
36017,Chenango County,2024,62948,875,0.10705727423846635,0.19558876056673413
36019,Clinton County,2022,67097,944,0.1148937236187828,0.27176293829082415
36019,Clinton County,2023,69208,956,0.112929167563734,0.2682087241599126
36019,Clinton County,2024,71224,1003,0.10860841094110303,0.27554072290914394
36021,Columbia County,2022,81741,1114,0.0948770925181799,0.36392077282431773
36021,Columbia County,2023,83619,1199,0.09540370642501429,0.3809222327740846
36021,Columbia County,2024,81528,1260,0.09328968903436989,0.3937153808891978
36023,Cortland County,2022,65029,884,0.10189284568495348,0.2784040445446471
36023,Cortland County,2023,67527,911,0.10157108683002522,0.2833230642842473
36023,Cortland County,2024,70418,984,0.10169528175409766,0.29136678377733055
36025,Delaware County,2022,58338,785,0.09427156842977799,0.24995476204837444
36025,Delaware County,2023,60226,848,0.09494736369553994,0.26695413563308507
36025,Delaware County,2024,63337,880,0.09265628161035808,0.2759139914473288
36027,Dutchess County,2022,94578,1425,0.10932414062947984,0.38981724723310224
36027,Dutchess County,2023,97273,1522,0.10983563524755674,0.3972561264074179
36027,Dutchess County,2024,99478,1582,0.10845349071155523,0.41617171641229983
36029,Erie County,2022,68014,984,0.12559712036600956,0.3638392059198532
36029,Erie County,2023,71175,1037,0.12488368959753443,0.3692683166240569
36029,Erie County,2024,72839,1090,0.12463523882258143,0.3804689377687179
36031,Essex County,2022,68090,875,0.10682317628772042,0.311787072243346
36031,Essex County,2023,70215,890,0.10521347466084095,0.31302303063835674
36031,Essex County,2024,71661,934,0.10012711979011711,0.3279606845831329
36033,Franklin County,2022,60270,788,0.1284687835816178,0.221476708441712
36033,Franklin County,2023,63747,819,0.12244507712573832,0.2377098142285407
36033,Franklin County,2024,65151,843,0.1243575466849409,0.2380711866421059
36035,Fulton County,2022,60557,855,0.10844594594594595,0.19327557222294064
36035,Fulton County,2023,62615,883,0.10237369049197718,0.2115566037735849
36035,Fulton County,2024,66533,912,0.10362565968716063,0.2090720458067397
36037,Genesee County,2022,68178,866,0.11971685794790736,0.2316673445462593
36037,Genesee County,2023,72055,909,0.1189099632397356,0.23613904050560183
36037,Genesee County,2024,73314,929,0.11684288853894474,0.23823345967471093
36039,Greene County,2022,70294,1013,0.1038758399733705,0.27587910730461995
36039,Greene County,2023,74011,993,0.10415527610716238,0.28931910316869364
36039,Greene County,2024,77945,1004,0.10563395135944652,0.29943595640983517
36041,Hamilton County,2022,66891,902,0.07131630648330059,0.23350377404431458
36041,Hamilton County,2023,68950,860,0.06938455507644062,0.26892382103990325
36041,Hamilton County,2024,68835,912,0.06857928866181962,0.33221797323135754
36043,Herkimer County,2022,68104,776,0.10420778531504486,0.22363006532908655
36043,Herkimer County,2023,68858,811,0.10435159847827538,0.22616273650852828
36043,Herkimer County,2024,68515,823,0.10080827350770621,0.22682358424609647
36045,Jefferson County,2022,62782,1143,0.1634637489888884,0.25218207414359456
36045,Jefferson County,2023,64978,1214,0.1653922328425041,0.25674553200610917
36045,Jefferson County,2024,66301,1213,0.15885778859527122,0.2645276244212572
36047,Kings County,2022,74692,1715,0.15017726394040945,0.4040221412328597
36047,Kings County,2023,78548,1784,0.14704006263825878,0.4132591826148946
36047,Kings County,2024,80263,1833,0.14528648188540724,0.42107577637464194
36049,Lewis County,2022,64401,768,0.11584863244660921,0.1920995670995671
36049,Lewis County,2023,68329,821,0.11383274475918552,0.19407912539914488
36049,Lewis County,2024,68182,837,0.11324087646108168,0.18554372378186512
36051,Livingston County,2022,70443,919,0.09982252339464344,0.2946287896872762
36051,Livingston County,2023,72464,912,0.10037669675910892,0.30597712723872544
36051,Livingston County,2024,74001,931,0.09849100783765326,0.3055369127516778
36053,Madison County,2022,68869,867,0.09655983534254631,0.26877667294902624
36053,Madison County,2023,73141,891,0.09654886639436452,0.2801710106556132
36053,Madison County,2024,75499,928,0.09495306558935361,0.2963824008690929
36055,Monroe County,2022,71450,1085,0.12237872253789632,0.40486644851989956
36055,Monroe County,2023,74409,1126,0.12174896693666884,0.41176537661177676
36055,Monroe County,2024,76382,1173,0.12102903736369872,0.41465084479609776
36057,Montgomery County,2022,58033,867,0.12405287763985169,0.19776152030079572
36057,Montgomery County,2023,62923,921,0.1213885687713552,0.20515367535351176
36057,Montgomery County,2024,64943,940,0.12350589565498304,0.22923529926241218
36059,Nassau County,2022,137709,2131,0.1138580149154885,0.4822290333521997
36059,Nassau County,2023,143408,2195,0.11429195080028066,0.487138018872195
36059,Nassau County,2024,146202,2252,0.11429837988300154,0.4967532667242132
36061,New York County,2022,99880,2024,0.14336030797142174,0.6275048712952518
36061,New York County,2023,104553,2132,0.1411166564687785,0.6400278318158594
36061,New York County,2024,103931,2197,0.13936618927422725,0.641899555133559
36063,Niagara County,2022,65882,823,0.11550676153229986,0.27028780797944507
36063,Niagara County,2023,67809,870,0.11605888114469033,0.271635151626491
36063,Niagara County,2024,69633,899,0.11401331618585712,0.2795640362734419
36065,Oneida County,2022,66402,889,0.11662158360563502,0.27315709487982887
36065,Oneida County,2023,68819,917,0.11620544753859217,0.27750221601946323
36065,Oneida County,2024,70154,944,0.11510361201794661,0.2784682798639533
36067,Onondaga County,2022,71479,1002,0.12051320569485673,0.36941954653614273
36067,Onondaga County,2023,74740,1067,0.12060999425373878,0.38134168421830544
36067,Onondaga County,2024,76945,1108,0.11904807388210023,0.39216192857648147
36069,Ontario County,2022,76603,1061,0.10787439441436307,0.3723877612238776
36069,Ontario County,2023,79814,1126,0.1078154886348472,0.37171338481018945
36069,Ontario County,2024,82324,1150,0.10913207547169812,0.3797148595862137
36071,Orange County,2022,91806,1494,0.12550437771192588,0.3156118966357874
36071,Orange County,2023,96497,1602,0.1275876584786054,0.32242336601812616
36071,Orange County,2024,97178,1680,0.12818728234993212,0.3254683183453582
36073,Orleans County,2022,61069,840,0.11791371923881638,0.17799065898476119
36073,Orleans County,2023,63838,877,0.11465000251978028,0.1750077179021027
36073,Orleans County,2024,65969,874,0.11634013330640275,0.1792414216522273
36075,Oswego County,2022,65054,899,0.11162601557138863,0.2143248561536354
36075,Oswego County,2023,68461,943,0.11163677985501717,0.2192422148344602
36075,Oswego County,2024,69183,967,0.11171398777479165,0.21638319252670363
36077,Otsego County,2022,65778,927,0.08872616374543382,0.3369587314494816
36077,Otsego County,2023,67086,942,0.09096387559007667,0.33852229299363057
36077,Otsego County,2024,68885,987,0.0943135689092966,0.34386697563087265
36079,Putnam County,2022,120970,1691,0.10535827326376836,0.42826234515526895
36079,Putnam County,2023,127405,1824,0.10357390700902151,0.43543830552783597
36079,Putnam County,2024,126257,1775,0.1060576717257688,0.45493105620494156
36081,Queens County,2022,82431,1847,0.13135656757423037,0.34768818295443976
36081,Queens County,2023,84961,1915,0.12875967115913145,0.35261146016690686
36081,Queens County,2024,86136,1956,0.1267195052026386,0.3613528896749841
36083,Rensselaer County,2022,83734,1141,0.11816605879100055,0.35360938395731356
36083,Rensselaer County,2023,86663,1182,0.11728753094966353,0.3727220630372493
36083,Rensselaer County,2024,87915,1217,0.11722550707282389,0.3755406308238686
36085,Richmond County,2022,96185,1602,0.12239387330729827,0.35334074205182814
36085,Richmond County,2023,98290,1689,0.12124594608855895,0.35775537618843584
36085,Richmond County,2024,98333,1733,0.11988540395509904,0.3570382265505164
36087,Rockland County,2022,106173,1755,0.13639624576818862,0.4246352001304312
36087,Rockland County,2023,110631,1826,0.13885217268156821,0.4211961993154166
36087,Rockland County,2024,109959,1901,0.13981098796956853,0.4270867180183108
36089,Saint Lawrence County,2022,58339,788,0.11095058433790375,0.2347970846215184
36089,Saint Lawrence County,2023,61900,799,0.10935470703922223,0.24640042703226622
36089,Saint Lawrence County,2024,62850,818,0.10895678286982635,0.2531087100082899
36091,Saratoga County,2022,97038,1305,0.11293625808198775,0.43406024061118753
36091,Saratoga County,2023,99653,1347,0.11216281767373194,0.4376616898107867
36091,Saratoga County,2024,100787,1394,0.10989407597656578,0.45392183876374825
36093,Schenectady County,2022,75056,1092,0.12231023474885072,0.3424142961342086
36093,Schenectady County,2023,76989,1159,0.1238009310601931,0.3505889843998726
36093,Schenectady County,2024,79623,1194,0.12243638109609713,0.3610265489923307
36095,Schoharie County,2022,71479,883,0.09556222889556223,0.24961643962992236
36095,Schoharie County,2023,71188,916,0.09473297975249341,0.250127545104587
36095,Schoharie County,2024,70133,909,0.09437918067156977,0.26194755518687496
36097,Schuyler County,2022,61316,808,0.10366844021282554,0.24482421139802754
36097,Schuyler County,2023,65625,858,0.09932953969237704,0.25364453508573154
36097,Schuyler County,2024,67663,899,0.0979956724746612,0.2638369341171082
36099,Seneca County,2022,64050,871,0.12457282101572019,0.22147540983606556
36099,Seneca County,2023,66007,925,0.12440754716981132,0.2413620011712541
36099,Seneca County,2024,68089,957,0.1195321992709599,0.2524218684188358
36101,Steuben County,2022,62506,832,0.11293597196101898,0.2585234535966192
36101,Steuben County,2023,64740,878,0.11323817099125051,0.26021209740769835
36101,Steuben County,2024,65887,894,0.11214196224132716,0.2634250560640039
36103,Suffolk County,2022,122498,2113,0.11358648095161254,0.390263741865835
36103,Suffolk County,2023,128329,2190,0.1147514550888784,0.39861800664836716
36103,Suffolk County,2024,130686,2255,0.1150393491862868,0.4021758027014389
36105,Sullivan County,2022,67841,996,0.12412829469672912,0.2776837785297718
36105,Sullivan County,2023,69826,999,0.12374442493082492,0.2968562256774448
36105,Sullivan County,2024,72382,1106,0.12335520126440963,0.30103867875786133
36107,Tioga County,2022,70427,894,0.10388052291907993,0.26315940944541977
36107,Tioga County,2023,71791,914,0.103043279424604,0.25599884359641517
36107,Tioga County,2024,72739,928,0.10389854587999331,0.2526552759178019
36109,Tompkins County,2022,69995,1320,0.09619228706547706,0.574874092484793
36109,Tompkins County,2023,73012,1374,0.09406195627873522,0.5924992684592125
36109,Tompkins County,2024,74024,1411,0.09452155696069334,0.5875970259008089
36111,Ulster County,2022,77197,1269,0.11109342146437336,0.3558729211723469
36111,Ulster County,2023,81804,1335,0.11097200028554327,0.37050437372045414
36111,Ulster County,2024,86271,1425,0.11022940728692614,0.38221501122396817
36113,Warren County,2022,74531,1062,0.10894586200596797,0.33841970699241103
36113,Warren County,2023,78239,1089,0.10634533251982917,0.34615384615384615
36113,Warren County,2024,78442,1105,0.10739197460201169,0.3643598267351667
36115,Washington County,2022,68703,964,0.10888925134562062,0.21128782858405123
36115,Washington County,2023,72342,1000,0.10428198347650411,0.21229667609618105
36115,Washington County,2024,73495,1033,0.10873731866098278,0.22372074573581913
36117,Wayne County,2022,71007,877,0.1126428978143752,0.24999233528528067
36117,Wayne County,2023,73914,929,0.11053682731981389,0.25532338004038424
36117,Wayne County,2024,74506,938,0.11318721200057187,0.2559953594162634
36119,Westchester County,2022,114651,1796,0.11146162356298803,0.5175983794298079
36119,Westchester County,2023,118411,1876,0.11151503478826107,0.5251003296031853
36119,Westchester County,2024,118976,1951,0.11166006620138305,0.5311677947987175
36121,Wyoming County,2022,65066,787,0.1297783727502603,0.18223713191691235
36121,Wyoming County,2023,68913,782,0.12503751875937968,0.18231485228652367
36121,Wyoming County,2024,69110,802,0.1297512137448746,0.18157336654660516
36123,Yates County,2022,63974,773,0.11018492291506495,0.24035590588797326
36123,Yates County,2023,67521,802,0.11608556236554775,0.2502694933524973
36123,Yates County,2024,69701,834,0.11807877354644052,0.25492406264831513
